dl_link,dataName,dataClass,source
http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,mining,mining,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
http://www.geomatics.gov.nt.ca/Downloads/Vector/Mineral_Tenure/MineralTenureAll.zip,mining,potentialMining,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,Energy,powerLines,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,oilGas,pipeline,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,oilGas,seismicLines,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,roads,roads,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1_H9Y-AZe-NmKCmqU0RpuZh04moiHf8l7/view?usp=sharing,settlements,otherLines,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,forestry,cutblocks,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,mining,mining,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,oilGas,oilGas,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,settlements,otherPolygons,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/18sO2fUR7rBe3akeH35LzJhiPQ79IX0BS/view?usp=sharing,settlements,settlements,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
https://drive.google.com/file/d/1bed08n8GP8rnTi5gpxpKMrBY5_EC4nmC/view?usp=sharing,forestry,potentialCutblocks,modules/anthroDisturbance_DataPrep/data/disturbanceDT.csv
