reason,n,table,changed_param,kept_pairs,trajectory_id,from_point,to_point,changed_factors,from_run_name,to_run_name
kept,33,counts_by_reason,NA,NA,NA,NA,NA,NA,NA,NA
no-op,13,counts_by_reason,NA,NA,NA,NA,NA,NA,NA,NA
confounded,4,counts_by_reason,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,kept_pairs_by_factor,clusterDistance,11,NA,NA,NA,NA,NA,NA
NA,NA,kept_pairs_by_factor,siteSelectionAsDistributing,10,NA,NA,NA,NA,NA,NA
NA,NA,kept_pairs_by_factor,totalDisturbanceRate,10,NA,NA,NA,NA,NA,NA
NA,NA,kept_pairs_by_factor,useClusterMethod,2,NA,NA,NA,NA,NA,NA
NA,NA,confounded_steps,NA,NA,3,4,5,"totalDisturbanceRate,clusterDistance,useClusterMethod,siteSelectionAsDistributing",NA,NA
NA,NA,confounded_steps,NA,NA,4,4,5,"clusterDistance,useClusterMethod",NA,NA
NA,NA,confounded_steps,NA,NA,5,4,5,"totalDisturbanceRate,clusterDistance,useClusterMethod,siteSelectionAsDistributing",NA,NA
NA,NA,confounded_steps,NA,NA,6,4,5,"totalDisturbanceRate,siteSelectionAsDistributing",NA,NA
NA,NA,no_op_steps,NA,NA,1,2,3,NA,NA,NA
NA,NA,no_op_steps,NA,NA,1,3,4,NA,NA,NA
NA,NA,no_op_steps,NA,NA,2,3,4,NA,NA,NA
NA,NA,no_op_steps,NA,NA,4,0,1,NA,NA,NA
NA,NA,no_op_steps,NA,NA,5,0,1,NA,NA,NA
NA,NA,no_op_steps,NA,NA,6,1,2,NA,NA,NA
NA,NA,no_op_steps,NA,NA,7,1,2,NA,NA,NA
NA,NA,no_op_steps,NA,NA,7,4,5,NA,NA,NA
NA,NA,no_op_steps,NA,NA,8,0,1,NA,NA,NA
NA,NA,no_op_steps,NA,NA,8,4,5,NA,NA,NA
NA,NA,no_op_steps,NA,NA,9,0,1,NA,NA,NA
NA,NA,no_op_steps,NA,NA,10,1,2,NA,NA,NA
NA,NA,no_op_steps,NA,NA,10,2,3,NA,NA,NA
