"Requirement","ODD/Submodel","Code","Test(s)","Metric(s) & Threshold(s)","Evidence artifact(s)","Last evaluation","CI Integration"
"IV-01: Implementation verification workflow documented and maintained","Global – ODD Sections 1–7 (all submodels)","validation/README.md; docs/traceability_matrix.csv","Manual review","Traceability matrix present; each requirement row has non-empty Code and Test(s); matrix reviewed at least once per release.","docs/traceability_matrix.csv","TBD","Optional: add a CSV completeness check to .github/workflows/ci-quick.yml."
"IV-02: TRACE-style documentation of verification decisions and limitations","Global – ODD Sections 1–7 (documentation)","modules/anthroDisturbance_Generator/anthroDisturbance_Generator.Rmd; modules/anthroDisturbance_DataPrep/anthroDisturbance_DataPrep.Rmd; validation/README.md","Manual review","Major modules and validation suites have up-to-date Rmd/README docs describing verification steps and limitations; no remaining 'TODO' markers in user-facing docs.","modules/anthroDisturbance_Generator/anthroDisturbance_Generator.pdf; modules/anthroDisturbance_DataPrep/anthroDisturbance_DataPrep.pdf; validation/README.md","TBD","Render docs in .github/workflows/pages.yml once pipelines are finalized."
"IV-03: Unit tests for anthroDisturbance_Generator core functions","7.4 Disturbance Generation Dynamics","modules/anthroDisturbance_Generator/R","modules/anthroDisturbance_Generator/tests/unitTests.R; modules/anthroDisturbance_Generator/tests/testthat/*.R","All generator testthat tests pass (0 failures, 0 errors); line coverage for modules/anthroDisturbance_Generator/R ≥ 70%.","modules/anthroDisturbance_Generator/tests/coverage.html; CI test logs","TBD","Add `Rscript modules/anthroDisturbance_Generator/tests/unitTests.R` to .github/workflows/ci-quick.yml."
"IV-04: Unit tests for anthroDisturbance_DataPrep core functions","7.1 Data Harmonization (Disturbance Data Prep)","modules/anthroDisturbance_DataPrep/R","modules/anthroDisturbance_DataPrep/tests/unitTests.R; modules/anthroDisturbance_DataPrep/tests/testthat/*.R","All data-prep testthat tests pass (0 failures, 0 errors); line coverage for modules/anthroDisturbance_DataPrep/R ≥ 70%.","modules/anthroDisturbance_DataPrep/tests/coverage.html; CI test logs","TBD","Add `Rscript modules/anthroDisturbance_DataPrep/tests/unitTests.R` to .github/workflows/ci-quick.yml."
"IV-05: Unit tests for potentialResourcesNT_DataPrep core functions","7.2 Potential Resource Layer Combination (Idiosyncratic Data Prep)","modules/potentialResourcesNT_DataPrep/R","modules/potentialResourcesNT_DataPrep/tests/unitTests.R; modules/potentialResourcesNT_DataPrep/tests/testthat/*.R","All potential-resources testthat tests pass (0 failures, 0 errors); line coverage for modules/potentialResourcesNT_DataPrep/R ≥ 70%.","modules/potentialResourcesNT_DataPrep/tests/coverage.html; CI test logs","TBD","Add `Rscript modules/potentialResourcesNT_DataPrep/tests/unitTests.R` to .github/workflows/ci-quick.yml."
"IV-06: Geometry validity and CRS consistency invariants","2. Entities, State Variables, and Scales; 7.1–7.5 (all spatial submodels)","modules/anthroDisturbance_Generator/R; modules/anthroDisturbance_DataPrep/R; modules/potentialResourcesNT_DataPrep/R","modules/anthroDisturbance_Generator/tests/testthat/test-anthroDisturbance_Generator.R; modules/anthroDisturbance_Generator/tests/testthat/test-generateDisturbances.R; modules/anthroDisturbance_Generator/tests/testthat/test-generateDisturbancesShp.R; modules/anthroDisturbance_DataPrep/tests/testthat/test-checkDisturbanceProportions.R; modules/potentialResourcesNT_DataPrep/tests/testthat/test-makePotentialCutblocks.R","All tests asserting geometry validity or CRS harmonization pass; no invalid geometries or CRS mismatches reported in test output.","Testthat logs; diagnostic plots from helper-disturbance-fixtures (when enabled)","TBD","Covered implicitly by module unit-test jobs in ci-quick.yml."
"IV-07: Input validation and error semantics for loaders and utilities","5. Initialization; 6. Input Data (input-handling submodels)","modules/anthroDisturbance_Generator/R; modules/anthroDisturbance_DataPrep/R","modules/anthroDisturbance_Generator/tests/testthat/test-createModObject.R; modules/anthroDisturbance_Generator/tests/testthat/test-generateLine.R; modules/anthroDisturbance_Generator/tests/testthat/test-saveDisturbances.R; modules/anthroDisturbance_Generator/tests/testthat/test-wrapTerraList.R; modules/anthroDisturbance_DataPrep/tests/testthat/test-wrapTerraList.R","All negative tests expecting specific error or message text pass; each failure mode yields a descriptive error and no silent NULL/NA results.","Testthat logs for the above files","TBD","Covered implicitly by module unit-test jobs in ci-quick.yml."
"IV-08: Integration tests for multi-year generator scheduling and hand-off","3. Process Overview and Scheduling; 7.4 Disturbance Generation Dynamics; 7.5 State Update and Outputs","modules/anthroDisturbance_Generator/anthroDisturbance_Generator.R","modules/anthroDisturbance_Generator/tests/testthat/test-anthroDisturbance_Generator.R","In integration tests, scheduled event years and currentDisturbanceLayer[\"YearYYYY\"] keys match the ODD description; forestry and settlement disturbed areas are non-decreasing across test years.","modules/anthroDisturbance_Generator/tests/testthat/test-anthroDisturbance_Generator.R output; any saved diagnostic plots","TBD","Covered implicitly by module unit-test jobs in ci-quick.yml."
"IV-09: System regression harness for standard scenarios","3. Process Overview and Scheduling; 7.4 Disturbance Generation Dynamics; 7.5 State Update and Outputs (system level)","validation/system/run_system_suite.R; validation/system/run_system_matrix.R; validation/system/testing_runs.csv","Rscript validation/runner.R --suite=system --mode=default","For a designated regression run, all active system_* scenarios finish with status == SUCCESS (no new FAIL rows); runner exits with status code 0.","validation/system/testing_runs.csv; scratch/validation/system/run_data.csv; scenario logs in scratch/validation/system/scenario_logs/","TBD","Replace placeholder in .github/workflows/validation-full.yml with a scheduled `Rscript validation/runner.R --suite=system --mode=default`."
"IV-10: Synthetic disturbance-rate verification","1. Purpose and Patterns; 7.3 Disturbance Parameter Calculations; 7.4 Disturbance Generation Dynamics","validation/rates/scenarios/run_rates_suite.R; validation/rates/scenarios/verify_rates.R; validation/rates/scenarios/scenarios.csv","Rscript validation/runner.R --suite=rates --csv=validation/rates/scenarios/scenarios.csv","For each SUCCESS scenario row in scenarios.csv, a verification_*.csv exists and, for Generating rows, |rate_gap_pct| ≤ 0.5 percentage points.","outputs/rates/*/verification_*.csv; validation/rates/scenarios/scenarios.csv","TBD","Add `Rscript validation/runner.R --suite=rates --mode=default` (possibly on a reduced scenario set) to .github/workflows/validation-full.yml."
