value_totalDisturbanceRate,norm_totalDisturbanceRate,value_cluster_distance,norm_cluster_distance,value_use_cluster_method,norm_use_cluster_method,value_site_selection,norm_site_selection,scenario_id,trajectory_id,point_index,grid_levels,grid_jump,replicates,config_file,changed_parameter,delta_norm,prev_scenario_id
2.5,0.8,1400,0.6,TRUE,0,oilGas;cutblocks,0.6,sa_morris_t01_p00,1,0,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t01_p00.yaml,,,
2.5,0.8,1100,0.4,TRUE,0,oilGas;cutblocks,0.6,sa_morris_t01_p01,1,1,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t01_p01.yaml,cluster_distance,-0.2,sa_morris_t01_p00
2,0.6,1100,0.4,TRUE,0,oilGas;cutblocks,0.6,sa_morris_t01_p02,1,2,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t01_p02.yaml,totalDisturbanceRate,-0.2,sa_morris_t01_p01
2,0.6,1100,0.4,TRUE,0.2,oilGas;cutblocks,0.6,sa_morris_t01_p03,1,3,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t01_p03.yaml,use_cluster_method,0.2,sa_morris_t01_p02
2,0.6,1100,0.4,TRUE,0.2,oilGas;cutblocks,0.4,sa_morris_t01_p04,1,4,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t01_p04.yaml,site_selection,-0.2,sa_morris_t01_p03
2,0.6,1100,0.4,TRUE,0.2,"",0,sa_morris_t02_p00,2,0,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t02_p00.yaml,,,
2,0.6,1100,0.4,TRUE,0.2,oilGas,0.2,sa_morris_t02_p01,2,1,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t02_p01.yaml,site_selection,0.2,sa_morris_t02_p00
2.5,0.8,1100,0.4,TRUE,0.2,oilGas,0.2,sa_morris_t02_p02,2,2,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t02_p02.yaml,totalDisturbanceRate,0.2,sa_morris_t02_p01
2.5,0.8,800,0.2,TRUE,0.2,oilGas,0.2,sa_morris_t02_p03,2,3,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t02_p03.yaml,cluster_distance,-0.2,sa_morris_t02_p02
2.5,0.8,800,0.2,TRUE,0,oilGas,0.2,sa_morris_t02_p04,2,4,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t02_p04.yaml,use_cluster_method,-0.2,sa_morris_t02_p03
2,0.6,1400,0.6,TRUE,0.4,"",0,sa_morris_t03_p00,3,0,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t03_p00.yaml,,,
2,0.6,1700,0.8,TRUE,0.4,"",0,sa_morris_t03_p01,3,1,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t03_p01.yaml,cluster_distance,0.2,sa_morris_t03_p00
2,0.6,1700,0.8,FALSE,0.6,"",0,sa_morris_t03_p02,3,2,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t03_p02.yaml,use_cluster_method,0.2,sa_morris_t03_p01
2.5,0.8,1700,0.8,FALSE,0.6,"",0,sa_morris_t03_p03,3,3,6,1,4,/home/ron/Documents/VSCode/Repos/RonCatK-anthroDisturbance_Thesis/workspace/sensitivity/config/generated/sa_morris_t03_p03.yaml,totalDisturbanceRate,0.2,sa_morris_t03_p02
